b/h,a/h,T_0,P_OWC
1,0.8,7.75,5945.033133
1,0.8,8,6993.423476
1,0.8,8.25,8104.392463
1,0.8,8.5,9275.404243
1,0.8,8.75,10491.72524
1,0.8,9,11719.09543
1,0.8,9.25,12902.13421
1,0.8,9.5,13969.8799
1,0.8,9.75,14848.28981
1,0.8,10,15476.50891
1,0.8,10.25,15820.91719
1,0.8,10.5,15881.26038
1,0.8,10.75,15687.03184
1,0.8,11,15286.99491
1,0.8,11.25,14736.9799
1,0.8,11.5,14090.1059
1,0.8,11.75,13391.09251
1,0.8,12,12674.27596
1,0.8,12.25,11964.05998
1,0.8,12.5,11276.54562
1,0.8,12.75,10621.4715
1,0.8,13,10003.99951
1,0.8,13.25,9426.164604
1,0.8,13.5,8887.966059
1,0.8,13.75,8388.14738
1,0.8,14,7924.732263
1,0.8,14.25,7495.380973
1,0.8,14.5,7097.619833
1,0.8,14.75,6728.983695
1,0.8,15,6387.100201
1.5,0.1,4,3719.383794
1.5,0.1,4.25,730.4417205
1.5,0.1,4.5,47.11006243
1.5,0.1,4.75,1091.03974
1.5,0.1,5,2658.944948
1.5,0.1,5.25,4750.040402
1.5,0.1,5.5,6388.202626
1.5,0.1,5.75,7623.789662
1.5,0.1,6,8955.898759
1.5,0.1,6.25,10269.51496
1.5,0.1,6.5,11252.54102
1.5,0.1,6.75,11816.076
1.5,0.1,7,12093.17702
1.5,0.1,7.25,12241.07596
1.5,0.1,7.5,12344.98128
1.5,0.1,7.75,12426.29291
1.5,0.1,8,12475.30167
1.5,0.1,8.25,12475.31891
1.5,0.1,8.5,12414.91862
1.5,0.1,8.75,12291.72942
1.5,0.1,9,12111.39299
1.5,0.1,9.25,11884.52623
1.5,0.1,9.5,11623.57104
1.5,0.1,9.75,11340.47035
1.5,0.1,10,11045.36631
1.5,0.1,10.25,10746.13628
1.5,0.1,10.5,10448.45939
1.5,0.1,10.75,10156.14573
1.5,0.1,11,9871.54694
1.5,0.1,11.25,9595.947858
1.5,0.1,11.5,9329.895294
1.5,0.1,11.75,9073.45334
1.5,0.1,12,8826.390827
1.5,0.1,12.25,8588.312788
1.5,0.1,12.5,8358.748765
1.5,0.1,12.75,8137.209364
1.5,0.1,13,7923.220303
1.5,0.1,13.25,7716.341051
1.5,0.1,13.5,7516.173263
1.5,0.1,13.75,7322.362756
1.5,0.1,14,7134.597603
1.5,0.1,14.25,6952.604133
1.5,0.1,14.5,6776.141975
1.5,0.1,14.75,6604.998897
1.5,0.1,15,6438.985878
1.5,0.2,4,7984.007478
1.5,0.2,4.25,1432.894879
1.5,0.2,4.5,47.8695422
1.5,0.2,4.75,1042.04789
1.5,0.2,5,2392.615222
1.5,0.2,5.25,4250.123588
1.5,0.2,5.5,5870.456974
1.5,0.2,5.75,7144.261399
1.5,0.2,6,8527.487611
1.5,0.2,6.25,9979.79134
1.5,0.2,6.5,11185.50519
1.5,0.2,6.75,11974.09749
1.5,0.2,7,12421.01971
1.5,0.2,7.25,12681.17414
1.5,0.2,7.5,12859.44814
1.5,0.2,7.75,12994.14728
1.5,0.2,8,13084.34041
1.5,0.2,8.25,13116.18076
1.5,0.2,8.5,13078.26342
1.5,0.2,8.75,12967.6484
1.5,0.2,9,12789.96126
1.5,0.2,9.25,12556.64914
1.5,0.2,9.5,12281.63753
1.5,0.2,9.75,11978.65152
1.5,0.2,10,11659.59808
1.5,0.2,10.25,11333.90256
1.5,0.2,10.5,11008.48945
1.5,0.2,10.75,10688.105
1.5,0.2,11,10375.76432
1.5,0.2,11.25,10073.19554
1.5,0.2,11.5,9781.221615
1.5,0.2,11.75,9500.061732
1.5,0.2,12,9229.555558
1.5,0.2,12.25,8969.322504
1.5,0.2,12.5,8718.870204
1.5,0.2,12.75,8477.665254
1.5,0.2,13,8245.176951
1.5,0.2,13.25,8020.902375
1.5,0.2,13.5,7804.378973
1.5,0.2,13.75,7595.189106
1.5,0.2,14,7392.959663
1.5,0.2,14.25,7197.358863
1.5,0.2,14.5,7008.091672
1.5,0.2,14.75,6824.894721
1.5,0.2,15,6647.531302
1.5,0.3,4,4448.461096
1.5,0.3,4.25,4634.573429
1.5,0.3,4.5,49.93555673
1.5,0.3,4.75,907.2777848
1.5,0.3,5,1923.458108
1.5,0.3,5.25,3377.033424
1.5,0.3,5.5,4825.604804
1.5,0.3,5.75,6050.329546
1.5,0.3,6,7401.514547
1.5,0.3,6.25,8936.339881
1.5,0.3,6.5,10396.56271
1.5,0.3,6.75,11531.21826
1.5,0.3,7,12301.62115
1.5,0.3,7.25,12815.73177
1.5,0.3,7.5,13186.2549
1.5,0.3,7.75,13472.47015
1.5,0.3,8,13688.17969
1.5,0.3,8.25,13825.62799
1.5,0.3,8.5,13874.05182
1.5,0.3,8.75,13829.30919
1.5,0.3,9,13696.37813
1.5,0.3,9.25,13487.58484
1.5,0.3,9.5,13219.18444
1.5,0.3,9.75,12908.10767
1.5,0.3,10,12569.70724
1.5,0.3,10.25,12216.6239
1.5,0.3,10.5,11858.51252
1.5,0.3,10.75,11502.28442
1.5,0.3,11,11152.58241
